[FAIL] agent-output/clean-agent-output.md: verdict=BLOCK expected=ALLOW (C:1 W:0 I:0)
[FAIL] agent/agent-rag-inject.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:1)
[FAIL] agent/agent-rag-document.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-query.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-cred-db.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-cred-key.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-cred-url.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-cred-conn.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-cred-combo.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-false-inject.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-fake-fact.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-bias.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-rag-source-spoof.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:1)
[FAIL] agent/agent-rag-false-combo.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-multi-chain.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-multi-coord.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:0)
[FAIL] agent/agent-multi-consensus.txt: verdict=ALLOW expected=BLOCK (C:0 W:0 I:1)
